FK_ZAEHLER;FK_STANDORT;DATUM;VELO_IN;VELO_OUT;FUSS_IN;FUSS_OUT;OST;NORD
ECO07091438;3919;2019-01-23T20:00;20;15;;;2682873;1245891
ECO07091438;3919;2019-01-23T21:00;11;10;;;2682873;1245891
ECO07091438;3919;2019-01-23T22:00;4;10;;;2682873;1245891
ECO07091438;3919;2019-01-23T23:00;6;1;;;2682873;1245891
ECO07091438;3919;2019-01-24T00:00;1;1;;;2682873;1245891
ECO07091438;3919;2019-01-24T01:00;0;1;;;2682873;1245891
ECO07091438;3919;2019-01-24T02:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-24T03:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-24T04:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-24T05:00;1;17;;;2682873;1245891
ECO07091438;3919;2019-01-24T06:00;37;15;;;2682873;1245891
ECO07091438;3919;2019-01-24T07:00;74;20;;;2682873;1245891
ECO07091438;3919;2019-01-24T08:00;101;14;;;2682873;1245891
ECO07091438;3919;2019-01-24T09:00;31;6;;;2682873;1245891
ECO07091438;3919;2019-01-24T10:00;6;4;;;2682873;1245891
ECO07091438;3919;2019-01-24T11:00;13;4;;;2682873;1245891
ECO07091438;3919;2019-01-24T12:00;10;5;;;2682873;1245891
ECO07091438;3919;2019-01-24T13:00;11;9;;;2682873;1245891
ECO07091438;3919;2019-01-24T14:00;11;18;;;2682873;1245891
ECO07091438;3919;2019-01-24T15:00;11;3;;;2682873;1245891
ECO07091438;3919;2019-01-24T16:00;14;24;;;2682873;1245891
ECO07091438;3919;2019-01-24T17:00;20;22;;;2682873;1245891
ECO07091438;3919;2019-01-24T18:00;24;47;;;2682873;1245891
ECO07091438;3919;2019-01-24T19:00;18;20;;;2682873;1245891
ECO07091438;3919;2019-01-24T20:00;9;13;;;2682873;1245891
ECO07091438;3919;2019-01-24T21:00;1;10;;;2682873;1245891
ECO07091438;3919;2019-01-24T22:00;5;5;;;2682873;1245891
ECO07091438;3919;2019-01-24T23:00;2;4;;;2682873;1245891
ECO07091438;3919;2019-01-25T00:00;1;2;;;2682873;1245891
ECO07091438;3919;2019-01-25T01:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-25T02:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-25T03:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-25T04:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-25T05:00;2;5;;;2682873;1245891
ECO07091438;3919;2019-01-25T06:00;19;18;;;2682873;1245891
ECO07091438;3919;2019-01-25T07:00;52;6;;;2682873;1245891
ECO07091438;3919;2019-01-25T08:00;94;13;;;2682873;1245891
ECO07091438;3919;2019-01-25T09:00;33;9;;;2682873;1245891
ECO07091438;3919;2019-01-25T10:00;7;7;;;2682873;1245891
ECO07091438;3919;2019-01-25T11:00;10;16;;;2682873;1245891
ECO07091438;3919;2019-01-25T12:00;11;15;;;2682873;1245891
ECO07091438;3919;2019-01-25T13:00;16;16;;;2682873;1245891
ECO07091438;3919;2019-01-25T14:00;23;8;;;2682873;1245891
ECO07091438;3919;2019-01-25T15:00;15;24;;;2682873;1245891
ECO07091438;3919;2019-01-25T16:00;21;30;;;2682873;1245891
ECO07091438;3919;2019-01-25T17:00;15;30;;;2682873;1245891
ECO07091438;3919;2019-01-25T18:00;21;39;;;2682873;1245891
ECO07091438;3919;2019-01-25T19:00;5;22;;;2682873;1245891
ECO07091438;3919;2019-01-25T20:00;6;10;;;2682873;1245891
ECO07091438;3919;2019-01-25T21:00;5;4;;;2682873;1245891
ECO07091438;3919;2019-01-25T22:00;2;6;;;2682873;1245891
ECO07091438;3919;2019-01-25T23:00;10;3;;;2682873;1245891
ECO07091438;3919;2019-01-26T00:00;5;1;;;2682873;1245891
ECO07091438;3919;2019-01-26T01:00;0;4;;;2682873;1245891
ECO07091438;3919;2019-01-26T02:00;2;0;;;2682873;1245891
ECO07091438;3919;2019-01-26T03:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-26T04:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-26T05:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-26T06:00;9;7;;;2682873;1245891
ECO07091438;3919;2019-01-26T07:00;1;13;;;2682873;1245891
ECO07091438;3919;2019-01-26T08:00;8;1;;;2682873;1245891
ECO07091438;3919;2019-01-26T09:00;22;4;;;2682873;1245891
ECO07091438;3919;2019-01-26T10:00;7;3;;;2682873;1245891
ECO07091438;3919;2019-01-26T11:00;12;2;;;2682873;1245891
ECO07091438;3919;2019-01-26T12:00;6;3;;;2682873;1245891
ECO07091438;3919;2019-01-26T13:00;10;10;;;2682873;1245891
ECO07091438;3919;2019-01-26T14:00;9;5;;;2682873;1245891
ECO07091438;3919;2019-01-26T15:00;11;2;;;2682873;1245891
ECO07091438;3919;2019-01-26T16:00;9;16;;;2682873;1245891
ECO07091438;3919;2019-01-26T17:00;9;10;;;2682873;1245891
ECO07091438;3919;2019-01-26T18:00;6;6;;;2682873;1245891
ECO07091438;3919;2019-01-26T19:00;6;5;;;2682873;1245891
ECO07091438;3919;2019-01-26T20:00;3;6;;;2682873;1245891
ECO07091438;3919;2019-01-26T21:00;2;5;;;2682873;1245891
ECO07091438;3919;2019-01-26T22:00;6;4;;;2682873;1245891
ECO07091438;3919;2019-01-26T23:00;1;3;;;2682873;1245891
ECO07091438;3919;2019-01-27T00:00;4;0;;;2682873;1245891
ECO07091438;3919;2019-01-27T01:00;0;1;;;2682873;1245891
ECO07091438;3919;2019-01-27T02:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-27T03:00;2;3;;;2682873;1245891
ECO07091438;3919;2019-01-27T04:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-27T05:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-27T06:00;3;0;;;2682873;1245891
ECO07091438;3919;2019-01-27T07:00;1;6;;;2682873;1245891
ECO07091438;3919;2019-01-27T08:00;1;1;;;2682873;1245891
ECO07091438;3919;2019-01-27T09:00;7;4;;;2682873;1245891
ECO07091438;3919;2019-01-27T10:00;13;3;;;2682873;1245891
ECO07091438;3919;2019-01-27T11:00;14;6;;;2682873;1245891
ECO07091438;3919;2019-01-27T12:00;24;3;;;2682873;1245891
ECO07091438;3919;2019-01-27T13:00;23;15;;;2682873;1245891
ECO07091438;3919;2019-01-27T14:00;15;13;;;2682873;1245891
ECO07091438;3919;2019-01-27T15:00;16;17;;;2682873;1245891
ECO07091438;3919;2019-01-27T16:00;13;22;;;2682873;1245891
ECO07091438;3919;2019-01-27T17:00;15;13;;;2682873;1245891
ECO07091438;3919;2019-01-27T18:00;8;3;;;2682873;1245891
ECO07091438;3919;2019-01-27T19:00;8;1;;;2682873;1245891
ECO07091438;3919;2019-01-27T20:00;1;2;;;2682873;1245891
ECO07091438;3919;2019-01-27T21:00;4;0;;;2682873;1245891
ECO07091438;3919;2019-01-27T22:00;2;5;;;2682873;1245891
ECO07091438;3919;2019-01-27T23:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-28T00:00;0;1;;;2682873;1245891
ECO07091438;3919;2019-01-28T01:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-28T02:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-28T03:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-28T04:00;2;0;;;2682873;1245891
ECO07091438;3919;2019-01-28T05:00;4;2;;;2682873;1245891
ECO07091438;3919;2019-01-28T06:00;19;7;;;2682873;1245891
ECO07091438;3919;2019-01-28T07:00;50;12;;;2682873;1245891
ECO07091438;3919;2019-01-28T08:00;56;16;;;2682873;1245891
ECO07091438;3919;2019-01-28T09:00;29;7;;;2682873;1245891
ECO07091438;3919;2019-01-28T10:00;8;3;;;2682873;1245891
ECO07091438;3919;2019-01-28T11:00;6;4;;;2682873;1245891
ECO07091438;3919;2019-01-28T12:00;13;8;;;2682873;1245891
ECO07091438;3919;2019-01-28T13:00;7;3;;;2682873;1245891
ECO07091438;3919;2019-01-28T14:00;6;7;;;2682873;1245891
ECO07091438;3919;2019-01-28T15:00;11;7;;;2682873;1245891
ECO07091438;3919;2019-01-28T16:00;14;17;;;2682873;1245891
ECO07091438;3919;2019-01-28T17:00;22;28;;;2682873;1245891
ECO07091438;3919;2019-01-28T18:00;10;39;;;2682873;1245891
ECO07091438;3919;2019-01-28T19:00;10;22;;;2682873;1245891
ECO07091438;3919;2019-01-28T20:00;10;9;;;2682873;1245891
ECO07091438;3919;2019-01-28T21:00;2;8;;;2682873;1245891
ECO07091438;3919;2019-01-28T22:00;2;0;;;2682873;1245891
ECO07091438;3919;2019-01-28T23:00;1;6;;;2682873;1245891
ECO07091438;3919;2019-01-29T00:00;1;0;;;2682873;1245891
ECO07091438;3919;2019-01-29T01:00;1;0;;;2682873;1245891
ECO07091438;3919;2019-01-29T02:00;0;1;;;2682873;1245891
ECO07091438;3919;2019-01-29T03:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-29T04:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-29T05:00;4;16;;;2682873;1245891
ECO07091438;3919;2019-01-29T06:00;16;13;;;2682873;1245891
ECO07091438;3919;2019-01-29T07:00;69;14;;;2682873;1245891
ECO07091438;3919;2019-01-29T08:00;76;9;;;2682873;1245891
ECO07091438;3919;2019-01-29T09:00;23;13;;;2682873;1245891
ECO07091438;3919;2019-01-29T10:00;12;4;;;2682873;1245891
ECO07091438;3919;2019-01-29T11:00;19;8;;;2682873;1245891
ECO07091438;3919;2019-01-29T12:00;13;12;;;2682873;1245891
ECO07091438;3919;2019-01-29T13:00;26;14;;;2682873;1245891
ECO07091438;3919;2019-01-29T14:00;22;17;;;2682873;1245891
ECO07091438;3919;2019-01-29T15:00;22;18;;;2682873;1245891
ECO07091438;3919;2019-01-29T16:00;14;18;;;2682873;1245891
ECO07091438;3919;2019-01-29T17:00;18;32;;;2682873;1245891
ECO07091438;3919;2019-01-29T18:00;16;42;;;2682873;1245891
ECO07091438;3919;2019-01-29T19:00;15;21;;;2682873;1245891
ECO07091438;3919;2019-01-29T20:00;26;11;;;2682873;1245891
ECO07091438;3919;2019-01-29T21:00;5;8;;;2682873;1245891
ECO07091438;3919;2019-01-29T22:00;3;7;;;2682873;1245891
ECO07091438;3919;2019-01-29T23:00;0;1;;;2682873;1245891
ECO07091438;3919;2019-01-30T00:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-30T01:00;2;0;;;2682873;1245891
ECO07091438;3919;2019-01-30T02:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-30T03:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-30T04:00;0;0;;;2682873;1245891
ECO07091438;3919;2019-01-30T05:00;6;5;;;2682873;1245891
ECO07091438;3919;2019-01-30T06:00;22;15;;;2682873;1245891
ECO07091438;3919;2019-01-30T07:00;75;14;;;2682873;1245891
